id,title,brand,retailer,price,original_price,currency,image,url,color,sizes,category,match_type,availability,scraped_at,source_url
manual-upper-001,Chocolate lace camisole,SASSAFRAS,Myntra,1299,1999,INR,https://images.unsplash.com/photo-1581044777550-4cfa60707c03?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.myntra.com/brown-lace-camisole,Chocolate,"XS,S,M,L",upper-wear
manual-upper-002,Lace trim satin top,H&M,H&M,1499,,INR,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=1100&h=1200&q=82,https://www2.hm.com/en_in/search-results.html?q=lace%20trim%20satin%20top,Mocha,"XS,S,M,L",upper-wear
manual-upper-003,Semi sheer lace blouse,Zara,Zara,2890,,INR,https://images.unsplash.com/photo-1485462537746-965f33f7f6a7?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.zara.com/in/en/search?searchTerm=lace%20blouse,Walnut,"XS,S,M,L",upper-wear
manual-upper-004,Corset lace crop top,Urbanic,Urbanic,1590,2190,INR,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.urbanic.com/search?q=corset%20lace%20crop%20top,Espresso,"XS,S,M,L",upper-wear
manual-upper-005,Ribbed square neck black top,MANGO,Myntra,1890,,INR,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.myntra.com/black-ribbed-square-neck-top,Black,"XS,S,M,L",upper-wear
manual-upper-006,Fitted cotton vest top,H&M,H&M,799,,INR,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=1100&h=1200&q=82,https://www2.hm.com/en_in/search-results.html?q=fitted%20cotton%20vest%20top,Black,"XS,S,M,L",upper-wear
manual-upper-007,Asymmetric black knit top,Zara,Zara,2590,,INR,https://images.unsplash.com/photo-1558769132-cb1aea458c5e?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.zara.com/in/en/search?searchTerm=asymmetric%20knit%20top,Black,"XS,S,M,L",upper-wear
manual-upper-008,Minimal halter top,Urbanic,Urbanic,1190,,INR,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.urbanic.com/search?q=minimal%20halter%20top,Jet Black,"XS,S,M,L",upper-wear
manual-upper-009,Regular fit linen shirt,MANGO Man,Myntra,2990,,INR,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.myntra.com/linen-shirt-men,Oat,"S,M,L,XL",upper-wear
manual-upper-010,Relaxed resort linen shirt,H&M,H&M,1799,,INR,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=1100&h=1200&q=82,https://www2.hm.com/en_in/search-results.html?q=relaxed%20linen%20shirt,Natural White,"S,M,L,XL",upper-wear
manual-upper-011,Textured linen overshirt,Zara,Zara,3990,,INR,https://images.unsplash.com/photo-1516257984-b1b4d707412e?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.zara.com/in/en/search?searchTerm=linen%20overshirt,Stone,"S,M,L,XL",upper-wear
manual-upper-012,Boxy linen blend shirt,Urbanic,Urbanic,1890,,INR,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.urbanic.com/search?q=boxy%20linen%20shirt,Cream,"S,M,L,XL",upper-wear
manual-upper-013,Satin cowl neck emerald top,Forever New,Myntra,2799,3499,INR,https://images.unsplash.com/photo-1581044777550-4cfa60707c03?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.myntra.com/emerald-satin-cowl-neck-top,Emerald,"XS,S,M,L",upper-wear
manual-upper-014,Fine knit off shoulder top,H&M,H&M,1499,,INR,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=1100&h=1200&q=82,https://www2.hm.com/en_in/search-results.html?q=green%20off%20shoulder%20top,Dark Green,"XS,S,M,L",upper-wear
manual-upper-015,Draped satin blouse,Zara,Zara,3590,,INR,https://images.unsplash.com/photo-1485462537746-965f33f7f6a7?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.zara.com/in/en/search?searchTerm=draped%20satin%20blouse,Bottle Green,"XS,S,M,L",upper-wear
manual-upper-016,Glossy ruched crop top,Urbanic,Urbanic,1690,,INR,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.urbanic.com/search?q=glossy%20ruched%20crop%20top,Forest,"XS,S,M,L",upper-wear
manual-upper-017,Ribbed cropped cardigan,ONLY,Myntra,1899,2699,INR,https://images.unsplash.com/photo-1558769132-cb1aea458c5e?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.myntra.com/cropped-cardigan,Cocoa,"XS,S,M,L",upper-wear
manual-upper-018,Short fine knit cardigan,H&M,H&M,1499,,INR,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?auto=format&fit=crop&w=1100&h=1200&q=82,https://www2.hm.com/en_in/search-results.html?q=short%20knit%20cardigan,Brown,"XS,S,M,L",upper-wear
manual-upper-019,Soft knit button top,Zara,Zara,2890,,INR,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.zara.com/in/en/search?searchTerm=knit%20button%20top,Taupe Brown,"XS,S,M,L",upper-wear
manual-upper-020,Fitted knit wrap top,Urbanic,Urbanic,1590,,INR,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.urbanic.com/search?q=fitted%20knit%20wrap%20top,Mocha,"XS,S,M,L",upper-wear
manual-upper-021,Oversized linen blazer,MANGO,Myntra,5990,7990,INR,https://images.unsplash.com/photo-1548454782-15b189d129ab?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.myntra.com/oversized-linen-blazer,Sand,"XS,S,M,L",upper-wear
manual-upper-022,Single breasted blazer,H&M,H&M,3499,,INR,https://images.unsplash.com/photo-1516257984-b1b4d707412e?auto=format&fit=crop&w=1100&h=1200&q=82,https://www2.hm.com/en_in/search-results.html?q=single%20breasted%20blazer,Beige,"XS,S,M,L",upper-wear
manual-upper-023,Flowy relaxed blazer,Zara,Zara,5590,,INR,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.zara.com/in/en/search?searchTerm=relaxed%20blazer,Stone,"XS,S,M,L",upper-wear
manual-upper-024,Longline clean blazer,Urbanic,Urbanic,2890,,INR,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.urbanic.com/search?q=longline%20blazer,Mushroom,"XS,S,M,L",upper-wear
manual-upper-025,Cotton broderie white blouse,MANGO,Myntra,2790,,INR,https://images.unsplash.com/photo-1485462537746-965f33f7f6a7?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.myntra.com/white-cotton-broderie-blouse,White,"XS,S,M,L",upper-wear
manual-upper-026,Balloon sleeve cotton shirt,H&M,H&M,1499,,INR,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=1100&h=1200&q=82,https://www2.hm.com/en_in/search-results.html?q=balloon%20sleeve%20cotton%20shirt,White,"XS,S,M,L",upper-wear
manual-upper-027,Poplin wrap blouse,Zara,Zara,3290,,INR,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.zara.com/in/en/search?searchTerm=poplin%20wrap%20blouse,Off White,"XS,S,M,L",upper-wear
manual-upper-028,Tie front cotton top,Urbanic,Urbanic,1690,,INR,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.urbanic.com/search?q=tie%20front%20cotton%20top,Cream,"XS,S,M,L",upper-wear
manual-upper-029,Contour rib tank top,MANGO,Myntra,1290,,INR,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.myntra.com/white-contour-rib-tank-top,White,"XS,S,M,L",upper-wear
manual-upper-030,Cotton vest tank top,H&M,H&M,699,,INR,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?auto=format&fit=crop&w=1100&h=1200&q=82,https://www2.hm.com/en_in/search-results.html?q=white%20cotton%20vest%20top,White,"XS,S,M,L",upper-wear
manual-upper-031,Wide strap knit tank top,Zara,Zara,1890,,INR,https://images.unsplash.com/photo-1558769132-cb1aea458c5e?auto=format&fit=crop&w=1100&h=1200&q=82,https://www.zara.com/in/en/search?searchTerm=wide%20strap%20knit%20top,Ivory,"XS,S,M,L",upper-wear
